month,search
2004-01,6
2004-02,6
2004-03,7
2004-04,8
2004-05,8
2004-06,7
2004-07,7
2004-08,8
2004-09,7
2004-10,8
2004-11,8
2004-12,8
2005-01,8
2005-02,9
2005-03,9
2005-04,11
2005-05,11
2005-06,11
2005-07,19
2005-08,24
2005-09,25
2005-10,22
2005-11,21
2005-12,21
2006-01,22
2006-02,22
2006-03,22
2006-04,23
2006-05,23
2006-06,25
2006-07,25
2006-08,25
2006-09,26
2006-10,26
2006-11,26
2006-12,27
2007-01,27
2007-02,28
2007-03,28
2007-04,28
2007-05,29
2007-06,30
2007-07,30
2007-08,30
2007-09,30
2007-10,30
2007-11,29
2007-12,30
2008-01,29
2008-02,29
2008-03,30
2008-04,31
2008-05,32
2008-06,31
2008-07,31
2008-08,33
2008-09,38
2008-10,34
2008-11,35
2008-12,34
2009-01,35
2009-02,38
2009-03,39
2009-04,41
2009-05,40
2009-06,39
2009-07,39
2009-08,39
2009-09,40
2009-10,43
2009-11,44
2009-12,42
2010-01,43
2010-02,45
2010-03,44
2010-04,46
2010-05,47
2010-06,46
2010-07,45
2010-08,46
2010-09,47
2010-10,48
2010-11,50
2010-12,47
2011-01,49
2011-02,52
2011-03,55
2011-04,55
2011-05,57
2011-06,59
2011-07,63
2011-08,59
2011-09,63
2011-10,60
2011-11,60
2011-12,60
2012-01,60
2012-02,60
2012-03,60
2012-04,60
2012-05,61
2012-06,62
2012-07,62
2012-08,62
2012-09,64
2012-10,74
2012-11,77
2012-12,81
2013-01,83
2013-02,85
2013-03,86
2013-04,88
2013-05,88
2013-06,88
2013-07,89
2013-08,90
2013-09,91
2013-10,97
2013-11,97
2013-12,96
2014-01,97
2014-02,93
2014-03,96
2014-04,95
2014-05,92
2014-06,95
2014-07,92
2014-08,96
2014-09,100
2014-10,98
2014-11,96
2014-12,95
2015-01,94
2015-02,94
2015-03,95
2015-04,91
2015-05,92
2015-06,88
2015-07,88
2015-08,88
2015-09,95
2015-10,92
2015-11,91
2015-12,87
2016-01,82
2016-02,82
2016-03,79
2016-04,77
2016-05,75
2016-06,72
2016-07,69
2016-08,73
2016-09,76
2016-10,76
2016-11,73
2016-12,68
2017-01,68
2017-02,72
2017-03,71
2017-04,69
2017-05,71
2017-06,64
2017-07,62
2017-08,62
2017-09,69
2017-10,70
2017-11,70
2017-12,66
2018-01,66
2018-02,65
2018-03,65
2018-04,64
2018-05,62
2018-06,57
2018-07,55
2018-08,57
2018-09,61
2018-10,62
2018-11,60
2018-12,56
2019-01,57
2019-02,59
2019-03,56
2019-04,59
2019-05,58
2019-06,55
2019-07,53
2019-08,56
2019-09,62
2019-10,61
2019-11,60
2019-12,56
2020-01,57
2020-02,60
2020-03,63
2020-04,66
